source,target,relation,weight
navigation_structure,platform,co_occurs_with,5
search_bar,user,co_occurs_with,5
accessibility,button,co_occurs_with,5
accessibility,unieasy,co_occurs_with,5
button,desktop,co_occurs_with,5
button,hero_section,co_occurs_with,5
button,interactive_element,co_occurs_with,5
button,screen,co_occurs_with,5
button,theme_toggle,co_occurs_with,5
button,unieasy,co_occurs_with,5
card,rating,co_occurs_with,5
card,tablet,co_occurs_with,5
desktop,tablet,co_occurs_with,5
hero_section,screen,co_occurs_with,5
interactive_element,user,co_occurs_with,5
screen,user,co_occurs_with,5
button,header,co_occurs_with,5
accommodation,service,co_occurs_with,5
button,navigation_element,co_occurs_with,5
button,service,co_occurs_with,5
button,unieasy_platform,co_occurs_with,5
descriptive_text,user,co_occurs_with,5
header,right_corner,co_occurs_with,5
header,theme_toggle,co_occurs_with,5
right_corner,theme_toggle,co_occurs_with,5
title,top,co_occurs_with,5
unieasy_platform,user,co_occurs_with,5
campus,hostel,co_occurs_with,5
campus,review,co_occurs_with,5
campus,service,co_occurs_with,5
campus,user,co_occurs_with,5
hostel,user,co_occurs_with,5
left,user,co_occurs_with,5
home_page,left_corner,co_occurs_with,5
left_corner,profile_button,co_occurs_with,5
right_side,service,co_occurs_with,5
bottom,platform,co_occurs_with,5
left_corner,right_corner,co_occurs_with,5
bottom,footer_section,co_occurs_with,5
admin,application,co_occurs_with,4
admin,clerk,co_occurs_with,4
admin,platform,co_occurs_with,4
admin,request,co_occurs_with,4
admin,rls_policy,co_occurs_with,4
admin,student,co_occurs_with,4
application,clerk,co_occurs_with,4
application,review,co_occurs_with,4
application,schema,co_occurs_with,4
clerk,merchant,co_occurs_with,4
clerk,request,co_occurs_with,4
clerk,review,co_occurs_with,4
clerk,schema,co_occurs_with,4
clerk,student,co_occurs_with,4
clerk,user,co_occurs_with,4
merchant,schema,co_occurs_with,4
merchant,superadmin,co_occurs_with,4
postgresql,request,co_occurs_with,4
relationship,user,co_occurs_with,4
request,review,co_occurs_with,4
request,supabase,co_occurs_with,4
review,supabase,co_occurs_with,4
row_level_security,supabase,co_occurs_with,4
schema,student,co_occurs_with,4
schema,superadmin,co_occurs_with,4
schema,user,co_occurs_with,4
student,superadmin,co_occurs_with,4
supabase,user,co_occurs_with,4
admin,role,co_occurs_with,4
column_type_description,merchant,co_occurs_with,4
column_type_description,user,co_occurs_with,4
foreign_key,merchant,co_occurs_with,4
merchant,primary_key,co_occurs_with,4
platform,primary_key,co_occurs_with,4
appuserid,merchant,co_occurs_with,4
appuserid,primary_key,co_occurs_with,4
appuserid,user,co_occurs_with,4
database,operation,co_occurs_with,4
database,review,co_occurs_with,4
operation,supabase,co_occurs_with,4
access,platform,co_occurs_with,4
access,service,co_occurs_with,4
access,user,co_occurs_with,4
clerk,database,co_occurs_with,4
database,role,co_occurs_with,4
datum,role,co_occurs_with,4
datum,user,co_occurs_with,4
detail,user,co_occurs_with,4
merchant,merchantid,co_occurs_with,4
query,request,co_occurs_with,4
rls,supabase,co_occurs_with,4
role,supabase,co_occurs_with,4
operation,role,co_occurs_with,4
responsive_design,user,co_occurs_with,4
accommodation,consistency,co_occurs_with,4
accommodation,eating_place,co_occurs_with,4
accommodation,event,co_occurs_with,4
accommodation,hero_section,co_occurs_with,4
accommodation,home_page,co_occurs_with,4
accommodation,search_bar,co_occurs_with,4
accommodation,student_essential,co_occurs_with,4
card,christ_university_central_campus,co_occurs_with,4
card,profile_button,co_occurs_with,4
category_card,platform,co_occurs_with,4
christ_university_central_campus,platform,co_occurs_with,4
christ_university_central_campus,ui_design_document,co_occurs_with,4
clarity,food,co_occurs_with,4
consistency,food,co_occurs_with,4
consistency,navigation_structure,co_occurs_with,4
consistency,user,co_occurs_with,4
deal,hero_section,co_occurs_with,4
deal,user,co_occurs_with,4
document,platform,co_occurs_with,4
eating_place,event,co_occurs_with,4
eating_place,hero_section,co_occurs_with,4
eating_place,student_essential,co_occurs_with,4
eating_place,user,co_occurs_with,4
event,navigation_structure,co_occurs_with,4
event,platform,co_occurs_with,4
event,unieasy,co_occurs_with,4
filter,review,co_occurs_with,4
filter,usability,co_occurs_with,4
food,navigation_structure,co_occurs_with,4
food,review,co_occurs_with,4
food,search_bar,co_occurs_with,4
food,theme_toggle,co_occurs_with,4
food,unieasy,co_occurs_with,4
hero_section,home_page,co_occurs_with,4
hero_section,landing_page,co_occurs_with,4
hero_section,review,co_occurs_with,4
hero_section,student,co_occurs_with,4
hero_section,unieasy,co_occurs_with,4
landing_page,navigation_structure,co_occurs_with,4
logo,platform,co_occurs_with,4
logo,review,co_occurs_with,4
logo,unieasy,co_occurs_with,4
navigation_element,search_bar,co_occurs_with,4
navigation_structure,student_essential,co_occurs_with,4
navigation_structure,user,co_occurs_with,4
platform,search_bar,co_occurs_with,4
platform,student_essential,co_occurs_with,4
platform,theme_toggle,co_occurs_with,4
platform,ui_design_document,co_occurs_with,4
profile_button,review,co_occurs_with,4
profile_button,student,co_occurs_with,4
review,theme_toggle,co_occurs_with,4
safety,unieasy,co_occurs_with,4
safety,user,co_occurs_with,4
student,unieasy,co_occurs_with,4
student_essential,unieasy,co_occurs_with,4
theme_toggle,unieasy,co_occurs_with,4
unieasy,usability,co_occurs_with,4
usability,user,co_occurs_with,4
accessibility,card,co_occurs_with,4
accessibility,hero_section,co_occurs_with,4
accessibility,interactive_element,co_occurs_with,4
accessibility,rating,co_occurs_with,4
accessibility,theme_toggle,co_occurs_with,4
button,food,co_occurs_with,4
button,footer,co_occurs_with,4
button,logo,co_occurs_with,4
button,mobile_device,co_occurs_with,4
button,module,co_occurs_with,4
button,quick_link,co_occurs_with,4
button,rating,co_occurs_with,4
button,usability,co_occurs_with,4
card,desktop,co_occurs_with,4
card,interactive_element,co_occurs_with,4
card,review_count,co_occurs_with,4
footer,user,co_occurs_with,4
hero_section,rating,co_occurs_with,4
interactive_element,rating,co_occurs_with,4
interactive_element,tablet,co_occurs_with,4
interactive_element,usability,co_occurs_with,4
mobile_device,tablet,co_occurs_with,4
mobile_device,user,co_occurs_with,4
module,user,co_occurs_with,4
option,user,co_occurs_with,4
review_count,user,co_occurs_with,4
tablet,usability,co_occurs_with,4
tablet,user,co_occurs_with,4
accessibility,header,co_occurs_with,4
card,header,co_occurs_with,4
card,readability,co_occurs_with,4
header,icon,co_occurs_with,4
input_field,interactive_element,co_occurs_with,4
input_field,student,co_occurs_with,4
interactive_element,student,co_occurs_with,4
platform,rating,co_occurs_with,4
rating,student,co_occurs_with,4
button,home_page,co_occurs_with,4
button,right_corner,co_occurs_with,4
descriptive_text,service,co_occurs_with,4
food,service,co_occurs_with,4
form,user,co_occurs_with,4
header,title,co_occurs_with,4
header,top,co_occurs_with,4
hero_section,service,co_occurs_with,4
hero_section,unieasy_platform,co_occurs_with,4
home_page,right_corner,co_occurs_with,4
navigation_element,service,co_occurs_with,4
navigation_element,unieasy_platform,co_occurs_with,4
platform,right_corner,co_occurs_with,4
platform,unieasy_platform,co_occurs_with,4
screen,unieasy_platform,co_occurs_with,4
search_bar,service,co_occurs_with,4
advertisement,service,co_occurs_with,4
hostel,review,co_occurs_with,4
profile_button,right_corner,co_occurs_with,4
action,interactive_element,co_occurs_with,4
button,home,co_occurs_with,4
contact_information,quick_link,co_occurs_with,4
contact_information,user,co_occurs_with,4
context,user,co_occurs_with,4
home,top,co_occurs_with,4
quick_link,service,co_occurs_with,4
service,term,co_occurs_with,4
footer_section,quick_link,co_occurs_with,4
footer_section,user,co_occurs_with,4
header,header_section,co_occurs_with,4
header,logo,co_occurs_with,4
header_section,logo,co_occurs_with,4
header_section,profile_button,co_occurs_with,4
header_section,theme_toggle,co_occurs_with,4
left_corner,light_dark_mode,co_occurs_with,4
light_dark_mode,logo,co_occurs_with,4
light_dark_mode,user,co_occurs_with,4
bottom,quick_link,co_occurs_with,4
bottom,service,co_occurs_with,4
left_side,right_side,co_occurs_with,4
left_side,user,co_occurs_with,4
platform,right_side,co_occurs_with,4
campus,right_side,co_occurs_with,4
positioned,review,co_occurs_with,4
advertisement,merchant,co_occurs_with,4
admin,postgresql,co_occurs_with,3
admin,row_level_security,co_occurs_with,3
admin,schema,co_occurs_with,3
admin,service,co_occurs_with,3
admin,supabase,co_occurs_with,3
admin,user,co_occurs_with,3
admin,user_role,co_occurs_with,3
application,authentication,co_occurs_with,3
application,merchant,co_occurs_with,3
application,postgresql,co_occurs_with,3
application,request,co_occurs_with,3
application,student,co_occurs_with,3
application,supabase,co_occurs_with,3
application,superadmin,co_occurs_with,3
application,user,co_occurs_with,3
authentication,clerk,co_occurs_with,3
authentication,review,co_occurs_with,3
authentication,service,co_occurs_with,3
authentication,student,co_occurs_with,3
clerk,platform,co_occurs_with,3
clerk,postgresql,co_occurs_with,3
clerk,rls_policy,co_occurs_with,3
clerk,row_level_security,co_occurs_with,3
clerk,superadmin,co_occurs_with,3
database_level,schema,co_occurs_with,3
merchant,relationship,co_occurs_with,3
merchant,request,co_occurs_with,3
merchant,rls_policy,co_occurs_with,3
merchant,row_level_security,co_occurs_with,3
merchant,supabase,co_occurs_with,3
merchant,user_role,co_occurs_with,3
platform,relationship,co_occurs_with,3
postgresql,review,co_occurs_with,3
postgresql,supabase,co_occurs_with,3
request,rls_policy,co_occurs_with,3
request,row_level_security,co_occurs_with,3
request,schema,co_occurs_with,3
request,student,co_occurs_with,3
request,user,co_occurs_with,3
review,rls_policy,co_occurs_with,3
review,row_level_security,co_occurs_with,3
review,superadmin,co_occurs_with,3
rls_policy,row_level_security,co_occurs_with,3
rls_policy,schema,co_occurs_with,3
rls_policy,student,co_occurs_with,3
rls_policy,supabase,co_occurs_with,3
rls_policy,user_role,co_occurs_with,3
row_level_security,schema,co_occurs_with,3
row_level_security,student,co_occurs_with,3
schema,service,co_occurs_with,3
service,supabase,co_occurs_with,3
service,top,co_occurs_with,3
student,supabase,co_occurs_with,3
student,user_role,co_occurs_with,3
supabase,superadmin,co_occurs_with,3
application,role,co_occurs_with,3
authentication,password,co_occurs_with,3
authentication,role,co_occurs_with,3
column_type_description,review,co_occurs_with,3
foreign_key,platform,co_occurs_with,3
password,user,co_occurs_with,3
platform,role,co_occurs_with,3
primary_key,review,co_occurs_with,3
primary_key,user,co_occurs_with,3
review,role,co_occurs_with,3
appuserid,foreign_key,co_occurs_with,3
appusersid,column_type_description,co_occurs_with,3
appusersid,foreign_key,co_occurs_with,3
appusersid,merchant,co_occurs_with,3
approvedbyappuserid,merchant,co_occurs_with,3
approvedbyappuserid,service,co_occurs_with,3
column_type_description,optional,co_occurs_with,3
column_type_description,service,co_occurs_with,3
foreign_key,service,co_occurs_with,3
merchant,serviceid,co_occurs_with,3
appuser_record,foreign_key,co_occurs_with,3
appuser_record,primary_key,co_occurs_with,3
column_type_description,none,co_occurs_with,3
column_type_description,require_field_relationship,co_occurs_with,3
column_type_description,standard_null,co_occurs_with,3
none,primary_key,co_occurs_with,3
none,require_field_relationship,co_occurs_with,3
none,standard_null,co_occurs_with,3
primary_key,require_field_relationship,co_occurs_with,3
primary_key,standard_null,co_occurs_with,3
require_field_relationship,standard_null,co_occurs_with,3
appuserid,merchant_record,co_occurs_with,3
appuserid,service,co_occurs_with,3
database,user,co_occurs_with,3
merchant_record,service,co_occurs_with,3
operation,review,co_occurs_with,3
operation,schema,co_occurs_with,3
profile,service,co_occurs_with,3
profile,user,co_occurs_with,3
review,unique_constraint,co_occurs_with,3
admin_dashboard,user,co_occurs_with,3
appuserid,email,co_occurs_with,3
appuserid,role,co_occurs_with,3
appuserid,serviceid,co_occurs_with,3
appuserid,status,co_occurs_with,3
email,role,co_occurs_with,3
email,serviceid,co_occurs_with,3
access,role,co_occurs_with,3
access,student,co_occurs_with,3
admin,query,co_occurs_with,3
appuserid,merchantid,co_occurs_with,3
clerk,datum,co_occurs_with,3
clerk,policy,co_occurs_with,3
clerk,query,co_occurs_with,3
clerk,rls,co_occurs_with,3
database,datum,co_occurs_with,3
database,merchant,co_occurs_with,3
database,policy,co_occurs_with,3
database,query,co_occurs_with,3
database,request,co_occurs_with,3
database,rls,co_occurs_with,3
database,student,co_occurs_with,3
datum,query,co_occurs_with,3
datum,request,co_occurs_with,3
datum,review,co_occurs_with,3
datum,service,co_occurs_with,3
datum,supabase,co_occurs_with,3
detail,review,co_occurs_with,3
detail,student,co_occurs_with,3
merchantid,student,co_occurs_with,3
policy,query,co_occurs_with,3
policy,request,co_occurs_with,3
policy,role,co_occurs_with,3
policy,supabase,co_occurs_with,3
query,review,co_occurs_with,3
query,role,co_occurs_with,3
query,supabase,co_occurs_with,3
request,role,co_occurs_with,3
rls,role,co_occurs_with,3
rls,row_level_security,co_occurs_with,3
rls,schema,co_occurs_with,3
rls_policy,role,co_occurs_with,3
role,schema,co_occurs_with,3
service,status,co_occurs_with,3
clerk,client,co_occurs_with,3
clerk,operation,co_occurs_with,3
client,database,co_occurs_with,3
client,operation,co_occurs_with,3
client,role,co_occurs_with,3
client,supabase,co_occurs_with,3
datum,operation,co_occurs_with,3
operation,postgresql,co_occurs_with,3
operation,query,co_occurs_with,3
operation,request,co_occurs_with,3
postgresql,query,co_occurs_with,3
system,user,co_occurs_with,3
accessibility,responsive_design,co_occurs_with,3
accommodation,category_card,co_occurs_with,3
accommodation,document,co_occurs_with,3
accommodation,explore,co_occurs_with,3
accommodation,landing_page,co_occurs_with,3
accommodation,navigation_element,co_occurs_with,3
accommodation,review,co_occurs_with,3
accommodation,student,co_occurs_with,3
accommodation,study_zone,co_occurs_with,3
accommodation,unieasy,co_occurs_with,3
accommodation_pg_hostel,deal,co_occurs_with,3
accommodation_pg_hostel,eating_place,co_occurs_with,3
accommodation_pg_hostel,emergency,co_occurs_with,3
accommodation_pg_hostel,event,co_occurs_with,3
accommodation_pg_hostel,food,co_occurs_with,3
accommodation_pg_hostel,hero_section,co_occurs_with,3
accommodation_pg_hostel,nearby_place,co_occurs_with,3
accommodation_pg_hostel,safety,co_occurs_with,3
accommodation_pg_hostel,student_discount,co_occurs_with,3
accommodation_pg_hostel,student_essential,co_occurs_with,3
accommodation_pg_hostel,theme_toggle,co_occurs_with,3
accommodation_pg_hostel,unieasy,co_occurs_with,3
accommodation_pg_hostel,user,co_occurs_with,3
advertisement,consistency,co_occurs_with,3
advertisement,home_page,co_occurs_with,3
advertisement,platform,co_occurs_with,3
advertisement,profile_button,co_occurs_with,3
advertisement,user,co_occurs_with,3
card,clarity,co_occurs_with,3
card,consistency,co_occurs_with,3
card,food,co_occurs_with,3
card,home_page,co_occurs_with,3
card,navigation_element,co_occurs_with,3
card,safety,co_occurs_with,3
category_card,explore,co_occurs_with,3
category_card,food,co_occurs_with,3
category_card,hero_section,co_occurs_with,3
category_card,home_page,co_occurs_with,3
category_card,student,co_occurs_with,3
category_card,theme_toggle,co_occurs_with,3
category_card,unieasy,co_occurs_with,3
category_card,user,co_occurs_with,3
christ_university_central_campus,clarity,co_occurs_with,3
christ_university_central_campus,document,co_occurs_with,3
christ_university_central_campus,event,co_occurs_with,3
christ_university_central_campus,filter,co_occurs_with,3
christ_university_central_campus,food,co_occurs_with,3
christ_university_central_campus,navigation_element,co_occurs_with,3
christ_university_central_campus,review,co_occurs_with,3
christ_university_central_campus,safety,co_occurs_with,3
christ_university_central_campus,student,co_occurs_with,3
christ_university_central_campus,student_essential,co_occurs_with,3
christ_university_central_campus,usability,co_occurs_with,3
clarity,event,co_occurs_with,3
clarity,platform,co_occurs_with,3
clarity,review,co_occurs_with,3
clarity,student,co_occurs_with,3
clarity,student_essential,co_occurs_with,3
clarity,theme_toggle,co_occurs_with,3
clarity,unieasy,co_occurs_with,3
consistency,document,co_occurs_with,3
consistency,eating_place,co_occurs_with,3
consistency,event,co_occurs_with,3
consistency,hero_section,co_occurs_with,3
consistency,student,co_occurs_with,3
consistency,student_essential,co_occurs_with,3
deal,eating_place,co_occurs_with,3
deal,emergency,co_occurs_with,3
deal,event,co_occurs_with,3
deal,food,co_occurs_with,3
deal,nearby_place,co_occurs_with,3
deal,platform,co_occurs_with,3
deal,profile_button,co_occurs_with,3
deal,review,co_occurs_with,3
deal,safety,co_occurs_with,3
deal,search_bar,co_occurs_with,3
deal,student_discount,co_occurs_with,3
deal,student_essential,co_occurs_with,3
deal,theme_toggle,co_occurs_with,3
deal,unieasy,co_occurs_with,3
document,event,co_occurs_with,3
document,food,co_occurs_with,3
document,navigation_structure,co_occurs_with,3
document,student,co_occurs_with,3
document,student_essential,co_occurs_with,3
document,ui_design_document,co_occurs_with,3
document,unieasy,co_occurs_with,3
eating_place,emergency,co_occurs_with,3
eating_place,home_page,co_occurs_with,3
eating_place,navigation_element,co_occurs_with,3
eating_place,navigation_structure,co_occurs_with,3
eating_place,nearby_place,co_occurs_with,3
eating_place,platform,co_occurs_with,3
eating_place,safety,co_occurs_with,3
eating_place,search_bar,co_occurs_with,3
eating_place,student_discount,co_occurs_with,3
eating_place,theme_toggle,co_occurs_with,3
eating_place,unieasy,co_occurs_with,3
emergency,event,co_occurs_with,3
emergency,food,co_occurs_with,3
emergency,hero_section,co_occurs_with,3
emergency,nearby_place,co_occurs_with,3
emergency,safety,co_occurs_with,3
emergency,student_discount,co_occurs_with,3
emergency,student_essential,co_occurs_with,3
emergency,theme_toggle,co_occurs_with,3
emergency,unieasy,co_occurs_with,3
emergency,user,co_occurs_with,3
event,hero_section,co_occurs_with,3
event,nearby_place,co_occurs_with,3
event,safety,co_occurs_with,3
event,student_discount,co_occurs_with,3
event,theme_toggle,co_occurs_with,3
event,user,co_occurs_with,3
explore,food,co_occurs_with,3
explore,navigation_element,co_occurs_with,3
explore,platform,co_occurs_with,3
explore,user,co_occurs_with,3
filter,logo,co_occurs_with,3
filter,profile_button,co_occurs_with,3
filter,safety,co_occurs_with,3
filter,theme_toggle,co_occurs_with,3
filter,unieasy,co_occurs_with,3
filter,user,co_occurs_with,3
food,home_page,co_occurs_with,3
food,navigation_element,co_occurs_with,3
food,nearby_place,co_occurs_with,3
food,safety,co_occurs_with,3
food,student,co_occurs_with,3
food,student_discount,co_occurs_with,3
food,study_zone,co_occurs_with,3
functionality,navigation_element,co_occurs_with,3
functionality,unieasy,co_occurs_with,3
functionality,user,co_occurs_with,3
hero_section,navigation_element,co_occurs_with,3
hero_section,navigation_structure,co_occurs_with,3
hero_section,nearby_place,co_occurs_with,3
hero_section,safety,co_occurs_with,3
hero_section,student_discount,co_occurs_with,3
hero_section,student_essential,co_occurs_with,3
hero_section,usability,co_occurs_with,3
home_page,navigation_element,co_occurs_with,3
home_page,platform,co_occurs_with,3
home_page,search_bar,co_occurs_with,3
home_page,unieasy,co_occurs_with,3
landing_page,logo,co_occurs_with,3
landing_page,platform,co_occurs_with,3
landing_page,study_zone,co_occurs_with,3
landing_page,theme_toggle,co_occurs_with,3
logo,student,co_occurs_with,3
logo,usability,co_occurs_with,3
navigation_element,platform,co_occurs_with,3
navigation_element,unieasy,co_occurs_with,3
navigation_structure,student,co_occurs_with,3
navigation_structure,study_zone,co_occurs_with,3
navigation_structure,unieasy,co_occurs_with,3
nearby_place,safety,co_occurs_with,3
nearby_place,student_discount,co_occurs_with,3
nearby_place,student_essential,co_occurs_with,3
nearby_place,theme_toggle,co_occurs_with,3
nearby_place,unieasy,co_occurs_with,3
nearby_place,user,co_occurs_with,3
platform,profile_button,co_occurs_with,3
platform,safety,co_occurs_with,3
platform,study_zone,co_occurs_with,3
platform,usability,co_occurs_with,3
platform,user_interface,co_occurs_with,3
profile_button,unieasy,co_occurs_with,3
profile_button,usability,co_occurs_with,3
review,safety,co_occurs_with,3
review,unieasy,co_occurs_with,3
review,usability,co_occurs_with,3
safety,student_discount,co_occurs_with,3
safety,student_essential,co_occurs_with,3
safety,theme_toggle,co_occurs_with,3
safety,usability,co_occurs_with,3
safety,user_interface,co_occurs_with,3
student,ui_design_document,co_occurs_with,3
student,usability,co_occurs_with,3
student_discount,student_essential,co_occurs_with,3
student_discount,theme_toggle,co_occurs_with,3
student_discount,unieasy,co_occurs_with,3
student_discount,user,co_occurs_with,3
student_essential,theme_toggle,co_occurs_with,3
student_essential,user,co_occurs_with,3
study_zone,theme_toggle,co_occurs_with,3
study_zone,user,co_occurs_with,3
theme_toggle,usability,co_occurs_with,3
ui_design_document,unieasy,co_occurs_with,3
ui_design_document,user,co_occurs_with,3
unieasy,user_interface,co_occurs_with,3
user,user_interface,co_occurs_with,3
accessibility,campus_specific_service,co_occurs_with,3
accessibility,christ_university_central_campus,co_occurs_with,3
accessibility,logo,co_occurs_with,3
accessibility,mobile_device,co_occurs_with,3
accessibility,module,co_occurs_with,3
accessibility,profile_button,co_occurs_with,3
accessibility,safety,co_occurs_with,3
accessibility,screen,co_occurs_with,3
accessibility,tablet,co_occurs_with,3
accessibility,usability,co_occurs_with,3
admin_dashboard,profile_button,co_occurs_with,3
admin_dashboard,review,co_occurs_with,3
amenity,card,co_occurs_with,3
amenity,user,co_occurs_with,3
button,campus_specific_service,co_occurs_with,3
button,christ_university_central_campus,co_occurs_with,3
button,design,co_occurs_with,3
button,eating_place,co_occurs_with,3
button,filter,co_occurs_with,3
button,profile_button,co_occurs_with,3
button,responsive_design,co_occurs_with,3
button,review,co_occurs_with,3
button,safety,co_occurs_with,3
campus_specific_service,card,co_occurs_with,3
campus_specific_service,hero_section,co_occurs_with,3
campus_specific_service,interactive_element,co_occurs_with,3
campus_specific_service,logo,co_occurs_with,3
campus_specific_service,screen,co_occurs_with,3
campus_specific_service,user,co_occurs_with,3
card,design,co_occurs_with,3
card,distance,co_occurs_with,3
card,mobile_device,co_occurs_with,3
card,option,co_occurs_with,3
card,quick_link,co_occurs_with,3
card,screen,co_occurs_with,3
christ_university_central_campus,visual_consistency,co_occurs_with,3
clarity,rating,co_occurs_with,3
contact_detail,quick_link,co_occurs_with,3
contact_detail,user,co_occurs_with,3
deal,rating,co_occurs_with,3
design,review,co_occurs_with,3
design,user,co_occurs_with,3
desktop,filter,co_occurs_with,3
desktop,food,co_occurs_with,3
desktop,interactive_element,co_occurs_with,3
desktop,mobile_device,co_occurs_with,3
desktop,rating,co_occurs_with,3
desktop,review,co_occurs_with,3
desktop,usability,co_occurs_with,3
desktop,user,co_occurs_with,3
distance,rating,co_occurs_with,3
distance,review,co_occurs_with,3
distance,user,co_occurs_with,3
eating_place,module,co_occurs_with,3
eating_place,screen,co_occurs_with,3
feedback,interactive_element,co_occurs_with,3
feedback,rating,co_occurs_with,3
feedback,review,co_occurs_with,3
feedback,user,co_occurs_with,3
filter,interactive_element,co_occurs_with,3
filter,tablet,co_occurs_with,3
food,module,co_occurs_with,3
food,rating,co_occurs_with,3
food,screen,co_occurs_with,3
food,tablet,co_occurs_with,3
footer,quick_link,co_occurs_with,3
hero_section,interactive_element,co_occurs_with,3
hero_section,mobile_device,co_occurs_with,3
hero_section,module,co_occurs_with,3
hero_section,option,co_occurs_with,3
hero_section,tablet,co_occurs_with,3
interactive_element,mobile_device,co_occurs_with,3
interactive_element,profile_button,co_occurs_with,3
interactive_element,responsive_design,co_occurs_with,3
interactive_element,review,co_occurs_with,3
interactive_element,unieasy,co_occurs_with,3
logo,screen,co_occurs_with,3
mobile_device,screen,co_occurs_with,3
mobile_device,unieasy,co_occurs_with,3
mobile_device,usability,co_occurs_with,3
module,quick_link,co_occurs_with,3
module,screen,co_occurs_with,3
module,unieasy,co_occurs_with,3
navigation,user,co_occurs_with,3
option,rating,co_occurs_with,3
option,review,co_occurs_with,3
quick_link,review_count,co_occurs_with,3
rating,safety,co_occurs_with,3
rating,tablet,co_occurs_with,3
rating,theme_toggle,co_occurs_with,3
rating,unieasy,co_occurs_with,3
review,review_count,co_occurs_with,3
review,tablet,co_occurs_with,3
screen,tablet,co_occurs_with,3
screen,theme_toggle,co_occurs_with,3
screen,unieasy,co_occurs_with,3
tablet,theme_toggle,co_occurs_with,3
tablet,unieasy,co_occurs_with,3
unieasy,visual_consistency,co_occurs_with,3
accessibility,input_field,co_occurs_with,3
accessibility,platform,co_occurs_with,3
accessibility,student,co_occurs_with,3
button,carousel,co_occurs_with,3
button,interface,co_occurs_with,3
button,readability,co_occurs_with,3
button,student,co_occurs_with,3
card,input_field,co_occurs_with,3
card,smooth_transition,co_occurs_with,3
carousel,user,co_occurs_with,3
design,student,co_occurs_with,3
header,platform,co_occurs_with,3
header,rating,co_occurs_with,3
